category,question,answer,processed_question,processed_answer
treatment,What are the treatments for Parkinson's Disease ?,"At present, there is no cure for PD, but a variety of medications provide dramatic relief from the symptoms. Usually, affected individuals are given levodopa combined with carbidopa. Carbidopa delays the conversion of levodopa into dopamine until it reaches the brain. Nerve cells can use levodopa to make dopamine and replenish the brain's dwindling supply. Although levodopa helps at least three-quarters of parkinsonian cases, not all symptoms respond equally to the drug. Bradykinesia and rigidity respond best, while tremor may be only marginally reduced. Problems with balance and other symptoms may not be alleviated at all. Anticholinergics may help control tremor and rigidity. Other drugs, such as bromocriptine, pramipexole, and ropinirole, mimic the role of dopamine in the brain, causing the neurons to react as they would to dopamine. An antiviral drug, amantadine, also appears to reduce symptoms. In May 2006, the FDA approved rasagiline to be used along with levodopa for patients with advanced PD or as a single-drug treatment for early PD.
                
In some cases, surgery may be appropriate if the disease doesn't respond to drugs. A therapy called deep brain stimulation (DBS) has now been approved by the U.S. Food and Drug Administration. In DBS, electrodes are implanted into the brain and connected to a small electrical device called a pulse generator that can be externally programmed. DBS can reduce the need for levodopa and related drugs, which in turn decreases the involuntary movements called dyskinesias that are a common side effect of levodopa. It also helps to alleviate fluctuations of symptoms and to reduce tremors, slowness of movements, and gait problems. DBS requires careful programming of the stimulator device in order to work correctly.",treatment parkinson disease,present cure variety medication provide dramatic relief symptom usually affected individual given levodopa combined carbidopa carbidopa delay conversion levodopa dopamine reach brain nerve cell use levodopa make dopamine replenish brain dwindling supply although levodopa help least three quarter parkinsonian case symptom respond equally drug bradykinesia rigidity respond best tremor may marginally reduced problem balance symptom may alleviated anticholinergic may help control tremor rigidity drug bromocriptine pramipexole ropinirole mimic role dopamine brain causing neuron react would dopamine antiviral drug amantadine also appears reduce symptom may fda approved rasagiline used along levodopa patient advanced single drug treatment early case surgery may appropriate disease respond drug therapy called deep brain stimulation db approved food drug administration db electrode implanted brain connected small electrical device called pulse generator externally programmed db reduce need levodopa related drug turn decrease involuntary movement called dyskinesia common side effect levodopa also help alleviate fluctuation symptom reduce tremor slowness movement gait problem db requires careful programming stimulator device order work correctly
outlook,What is the outlook for Parkinson's Disease ?,"PD is both chronic, meaning it persists over a long period of time, and progressive, meaning its symptoms grow worse over time. Although some people become severely disabled, others experience only minor motor disruptions. Tremor is the major symptom for some individuals, while for others tremor is only a minor complaint and other symptoms are more troublesome. It is currently not possible to predict which symptoms will affect an individual, and the intensity of the symptoms also varies from person to person.",outlook parkinson disease,chronic meaning persists long period time progressive meaning symptom grow worse time although people become severely disabled others experience minor motor disruption tremor major symptom individual others tremor minor complaint symptom troublesome currently possible predict symptom affect individual intensity symptom also varies person person
research,what research (or clinical trials) is being done for Parkinson's Disease ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts PD research in laboratories at the National Institutes of Health (NIH) and also supports additional research through grants to major medical institutions across the country. Current research programs funded by the NINDS are using animal models to study how the disease progresses and to develop new drug therapies. Scientists looking for the cause of PD continue to search for possible environmental factors, such as toxins, that may trigger the disorder, and study genetic factors to determine how defective genes play a role. Other scientists are working to develop new protective drugs that can delay, prevent, or reverse the disease.
                
http://www.ninds.nih.gov/research/parkinsonsweb/index.htm",research clinical trial done parkinson disease,national institute neurological disorder stroke ninds conduct research laboratory national institute health nih also support additional research grant major medical institution across country current research program funded ninds using animal model study disease progress develop new drug therapy scientist looking cause continue search possible environmental factor toxin may trigger disorder study genetic factor determine defective gene play role scientist working develop new protective drug delay prevent reverse disease http www ninds nih gov research parkinsonsweb index htm
information,What is (are) Melkersson-Rosenthal Syndrome ?,"Melkersson-Rosenthal syndrome is a rare neurological disorder characterized by recurring facial paralysis, swelling of the face and lips (usually the upper lip), and the development of folds and furrows in the tongue. Onset is in childhood or early adolescence. After recurrent attacks (ranging from days to years in between), swelling may persist and increase, eventually becoming permanent. The lip may become hard, cracked, and fissured with a reddish-brown discoloration. The cause of Melkersson-Rosenthal syndrome is unknown, but there may be a genetic predisposition. It can be symptomatic of Crohn's disease or sarcoidosis.",melkersson rosenthal syndrome,melkersson rosenthal syndrome rare neurological disorder characterized recurring facial paralysis swelling face lip usually upper lip development fold furrow tongue onset childhood early adolescence recurrent attack ranging day year swelling may persist increase eventually becoming permanent lip may become hard cracked fissured reddish brown discoloration cause melkersson rosenthal syndrome unknown may genetic predisposition symptomatic crohn disease sarcoidosis
treatment,What are the treatments for Melkersson-Rosenthal Syndrome ?,"Treatment is symptomatic and may include medication therapies with nonsteroidal anti-inflammatory drugs (NSAIDs) and corticosteroids to reduce swelling, as well as antibiotics and immunosuppressants. Surgery may be recommended to relieve pressure on the facial nerves and to reduce swollen tissue, but its effectiveness has not been established. Massage and electrical stimulation may also be prescribed.",treatment melkersson rosenthal syndrome,treatment symptomatic may include medication therapy nonsteroidal anti inflammatory drug nsaid corticosteroid reduce swelling well antibiotic immunosuppressant surgery may recommended relieve pressure facial nerve reduce swollen tissue effectiveness established massage electrical stimulation may also prescribed
outlook,What is the outlook for Melkersson-Rosenthal Syndrome ?,Melkersson-Rosenthal syndrome may recur intermittently after its first appearance. It can become a chronic disorder. Follow-up care should exclude the development of Crohn's disease or sarcoidosis.,outlook melkersson rosenthal syndrome,melkersson rosenthal syndrome may recur intermittently first appearance become chronic disorder follow care exclude development crohn disease sarcoidosis
research,what research (or clinical trials) is being done for Melkersson-Rosenthal Syndrome ?,"The NINDS supports research on neurological disorders such as Melkersson-Rosenthal syndrome. Much of this research is aimed at increasing knowledge of these disorders and finding ways to treat, prevent, and ultimately cure them.",research clinical trial done melkersson rosenthal syndrome,ninds support research neurological disorder melkersson rosenthal syndrome much research aimed increasing knowledge disorder finding way treat prevent ultimately cure
information,What is (are) Sjgren's Syndrome ?,"Sjgren's syndrome is an autoimmune disorder in which immune cells attack and destroy the glands that produce tears and saliva. Sjgren's syndrome is also associated with rheumatic disorders such as rheumatoid arthritis. The hallmark symptoms of the disorder are dry mouth and dry eyes. In addition, Sjogren's syndrome may cause skin, nose, and vaginal dryness, and may affect other organs of the body including the kidneys, blood vessels, lungs, liver, pancreas, and brain.  Sjgren's syndrome affects 1-4 million people in the United States. Most people are more than 40 years old at the time of diagnosis. Women are 9 times more likely to have Sjgren's syndrome than men.",sjgren syndrome,sjgren syndrome autoimmune disorder immune cell attack destroy gland produce tear saliva sjgren syndrome also associated rheumatic disorder rheumatoid arthritis hallmark symptom disorder dry mouth dry eye addition sjogren syndrome may cause skin nose vaginal dryness may affect organ body including kidney blood vessel lung liver pancreas brain sjgren syndrome affect million people united state people year old time diagnosis woman time likely sjgren syndrome men
treatment,What are the treatments for Sjgren's Syndrome ?,"There is no known cure for Sjgren's syndrome nor is there a specific treatment to restore gland secretion. Treatment is generally symptomatic and supportive. Moisture replacement therapies may ease the symptoms of dryness. Nonsteroidal anti-inflammatory drugs may be used to treat musculoskeletal symptoms. For individuals with severe complications, corticosteroids or immunosuppressive drugs may be prescribed.",treatment sjgren syndrome,known cure sjgren syndrome specific treatment restore gland secretion treatment generally symptomatic supportive moisture replacement therapy may ease symptom dryness nonsteroidal anti inflammatory drug may used treat musculoskeletal symptom individual severe complication corticosteroid immunosuppressive drug may prescribed
outlook,What is the outlook for Sjgren's Syndrome ?,"Sjgren's syndrome can damage vital organs of the body with symptoms that may remain stable, worsen, or go into remission. Some people may experience only the mild symptoms of dry eyes and mouth, while others go through cycles of good health followed by severe disease. Many patients are able to treat problems symptomatically. Others are forced to cope with blurred vision, constant eye discomfort, recurrent mouth infections, swollen parotid glands, hoarseness, and difficulty in swallowing and eating. Debilitating fatigue and joint pain can seriously impair quality of life.",outlook sjgren syndrome,sjgren syndrome damage vital organ body symptom may remain stable worsen remission people may experience mild symptom dry eye mouth others cycle good health followed severe disease many patient able treat problem symptomatically others forced cope blurred vision constant eye discomfort recurrent mouth infection swollen parotid gland hoarseness difficulty swallowing eating debilitating fatigue joint pain seriously impair quality life
research,what research (or clinical trials) is being done for Sjgren's Syndrome ?,"The goals of research on disorders such as Sjgren's syndrome focus on increasing knowledge and understanding of the disorder, improving diagnostic techniques, testing interventions, and finding ways to treat, prevent, and cure the disease.",research clinical trial done sjgren syndrome,goal research disorder sjgren syndrome focus increasing knowledge understanding disorder improving diagnostic technique testing intervention finding way treat prevent cure disease
information,What is (are) Hydranencephaly ?,"Hydranencephaly is a rare condition in which the brain's cerebral hemispheres are absent and replaced by sacs filled with cerebrospinal fluid. An infant with hydranencephaly may appear normal at birth. The infant's head size and spontaneous reflexes such as sucking, swallowing, crying, and moving the arms and legs may all seem normal. However, after a few weeks the infant usually becomes irritable and has increased muscle tone. After a few months of life, seizures and hydrocephalus (excessive accumulation of cerebrospinal fluid in the brain) may develop. Other symptoms may include visual impairment, lack of growth, deafness, blindness, spastic quadriparesis (paralysis), and intellectual deficits. Hydranencephaly is considered to be an extreme form of porencephaly (a rare disorder characterized by a cyst or cavity in the cerebral hemispheres) and may be caused by vascular infections or traumatic disorders after the 12th week of pregnancy. Diagnosis may be delayed for several months because early behavior appears to be relatively normal. Some infants may have additional abnormalities at birth including seizures, myoclonus (spasm or twitching of a muscle or group of muscles), and respiratory problems.",hydranencephaly,hydranencephaly rare condition brain cerebral hemisphere absent replaced sac filled cerebrospinal fluid infant hydranencephaly may appear normal birth infant head size spontaneous reflex sucking swallowing cry moving arm leg may seem normal however week infant usually becomes irritable increased muscle tone month life seizure hydrocephalus excessive accumulation cerebrospinal fluid brain may develop symptom may include visual impairment lack growth deafness blindness spastic quadriparesis paralysis intellectual deficit hydranencephaly considered extreme form porencephaly rare disorder characterized cyst cavity cerebral hemisphere may caused vascular infection traumatic disorder week pregnancy diagnosis may delayed several month early behavior appears relatively normal infant may additional abnormality birth including seizure myoclonus spasm twitching muscle group muscle respiratory problem
treatment,What are the treatments for Hydranencephaly ?,There is no definitive treatment for hydranencephaly. Treatment is symptomatic and supportive. Hydrocephalus may be treated with a shunt (a surgically implanted tube that diverts fluid from one pathway to another).,treatment hydranencephaly,definitive treatment hydranencephaly treatment symptomatic supportive hydrocephalus may treated shunt surgically implanted tube diverts fluid one pathway another
outlook,What is the outlook for Hydranencephaly ?,"The outlook for children with hydranencephaly is generally poor, and many children with this disorder die before age 1. However, in rare cases, children with hydranencephaly may survive for several years or more.",outlook hydranencephaly,outlook child hydranencephaly generally poor many child disorder die age however rare case child hydranencephaly may survive several year
research,what research (or clinical trials) is being done for Hydranencephaly ?,"The NINDS conducts and supports a wide range of studies that explore the complex mechanisms of normal brain development. The knowledge gained from these fundamental studies provides the foundation for understanding how this process can go awry and, thus, offers hope for new means to treat and prevent developmental brain disorders, including hydranencephaly.",research clinical trial done hydranencephaly,ninds conduct support wide range study explore complex mechanism normal brain development knowledge gained fundamental study provides foundation understanding process awry thus offer hope new mean treat prevent developmental brain disorder including hydranencephaly
information,What is (are) Progressive Multifocal Leukoencephalopathy ?,"Progressive multifocal leukoencephalopathy (PML) is a disease of the white matter of the brain, caused by a virus infection that targets cells that make myelin--the material that insulates nerve cells (neurons). Polyomavirus JC (often called JC virus) is carried by a majority of people and is harmless except among those with lowered immune defenses. The disease is rare and occurs in patients undergoing chronic corticosteroid or immunosuppressive therapy for organ transplant, or individuals with cancer (such as Hodgkins disease or lymphoma). Individuals with autoimmune conditions such as multiple sclerosis, rheumatoid arthritis, and systemic lupus erythematosis -- some of whom are treated with biological therapies that allow JC virus reactivation -- are at risk for PML as well. PML is most common among individuals with HIV-1 infection / acquired immune deficiency syndrome (AIDS). Studies estimate that prior to effective antiretroviral therapy, as many as 5 percent of persons infected with HIV-1 eventually develop PML that is an AIDS-defining illness. However, current HIV therapy using antiretroviral drugs (ART), which effectively restores immune system function, allows as many as half of all HIV-PML patients to survive, although they may sometimes have an inflammatory reaction in the regions of the brain affected by PML. The symptoms of PML are diverse, since they are related to the location and amount of damage in the brain, and may evolve over the course of several weeks to months The most prominent symptoms are clumsiness; progressive weakness; and visual, speech, and sometimes personality changes. The progression of deficits leads to life-threatening disability and (frequently) death. A diagnosis of PML can be made following brain biopsy or by combining observations of a progressive course of the disease, consistent white matter lesions visible on a magnetic resonance imaging (MRI) scan, and the detection of the JC virus in spinal fluid.",progressive multifocal leukoencephalopathy,progressive multifocal leukoencephalopathy pml disease white matter brain caused virus infection target cell make myelin material insulates nerve cell neuron polyomavirus often called virus carried majority people harmless except among lowered immune defense disease rare occurs patient undergoing chronic corticosteroid immunosuppressive therapy organ transplant individual cancer hodgkin disease lymphoma individual autoimmune condition multiple sclerosis rheumatoid arthritis systemic lupus erythematosis treated biological therapy allow virus reactivation risk pml well pml common among individual hiv infection acquired immune deficiency syndrome aid study estimate prior effective antiretroviral therapy many percent person infected hiv eventually develop pml aid defining illness however current hiv therapy using antiretroviral drug art effectively restores immune system function allows many half hiv pml patient survive although may sometimes inflammatory reaction region brain affected pml symptom pml diverse since related location amount damage brain may evolve course several week month prominent symptom clumsiness progressive weakness visual speech sometimes personality change progression deficit lead life threatening disability frequently death diagnosis pml made following brain biopsy combining observation progressive course disease consistent white matter lesion visible magnetic resonance imaging mri scan detection virus spinal fluid
treatment,What are the treatments for Progressive Multifocal Leukoencephalopathy ?,"Currently, the best available therapy is reversal of the immune-deficient state, since there are no effective drugs that block virus infection without toxicity. Reversal may be achieved by using plasma exchange to accelerate the removal of the therapeutic agents that put patients at risk for PML. In the case of HIV-associated PML, immediately beginning anti-retroviral therapy will benefit most individuals. Several new drugs that laboratory tests found effective against infection are being used in PML patients with special permission of the U.S. Food and Drug Administration. Hexadecyloxypropyl-Cidofovir (CMX001) is currently being studied as a treatment option for JVC because of its ability to suppress JVC by inhibiting viral DNA replication.",treatment progressive multifocal leukoencephalopathy,currently best available therapy reversal immune deficient state since effective drug block virus infection without toxicity reversal may achieved using plasma exchange accelerate removal therapeutic agent put patient risk pml case hiv associated pml immediately beginning anti retroviral therapy benefit individual several new drug laboratory test found effective infection used pml patient special permission food drug administration hexadecyloxypropyl cidofovir cmx currently studied treatment option jvc ability suppress jvc inhibiting viral dna replication
outlook,What is the outlook for Progressive Multifocal Leukoencephalopathy ?,"In general, PML has a mortality rate of 30-50 percent in the first few months following diagnosis but depends on the severity of the underlying disease and treatment received. Those who survive PML can be left with severe neurological disabilities.",outlook progressive multifocal leukoencephalopathy,general pml mortality rate percent first month following diagnosis depends severity underlying disease treatment received survive pml left severe neurological disability
research,what research (or clinical trials) is being done for Progressive Multifocal Leukoencephalopathy ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to PML in laboratories at the NIH, and support additional research through grants to majorresearch institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure disorders such as PML.",research clinical trial done progressive multifocal leukoencephalopathy,national institute neurological disorder stroke ninds institute national institute health nih conduct research related pml laboratory nih support additional research grant majorresearch institution across country much research focus finding better way prevent treat ultimately cure disorder pml
information,What is (are) Williams Syndrome ?,"Williams Syndrome (WS) is a rare genetic disorder characterized by mild to moderate delays in cognitive development or learning difficulties, a distinctive facial appearance, and a unique personality that combines over-friendliness and high levels of empathy with anxiety. The most significant medical problem associated with WS is cardiovascular disease caused by narrowed arteries. WS is also associated with elevated blood calcium levels in infancy. A random genetic mutation (deletion of a small piece of chromosome 7), rather than inheritance, most often causes the disorder. However, individuals who have WS have a 50 percent chance of passing it on if they decide to have children. The characteristic facial features of WS include puffiness around the eyes, a short nose with a broad nasal tip, wide mouth, full cheeks, full lips, and a small chin. People with WS are also likely to have a long neck, sloping shoulders, short stature, limited mobility in their joints, and curvature of the spine. Some individuals with WS have a star-like pattern in the iris of their eyes. Infants with WS are often irritable and colicky, with feeding problems that keep them from gaining weight. Chronic abdominal pain is common in adolescents and adults. By age 30, the majority of individuals with WS have diabetes or pre-diabetes and mild to moderate sensorineural hearing loss (a form of deafness due to disturbed function of the auditory nerve). For some people, hearing loss may begin as early as late childhood. WS also is associated with a characteristic cognitive profile of mental strengths and weaknesses composed of strengths in verbal short-term memory and language, combined with severe weakness in visuospatial construction (the skills used to copy patterns, draw, or write). Within language, the strongest skills are typically in concrete, practical vocabulary, which in many cases is in the low average to average range for the general population. Abstract or conceptual-relational vocabulary is much more limited. Most older children and adults with WS speak fluently and use good grammar. More than 50% of children with WS have attention deficit disorders (ADD or ADHD), and about 50% have specific phobias, such as a fear of loud noises. The majority of individuals with WS worry excessively.",williams syndrome,williams syndrome rare genetic disorder characterized mild moderate delay cognitive development learning difficulty distinctive facial appearance unique personality combine friendliness high level empathy anxiety significant medical problem associated cardiovascular disease caused narrowed artery also associated elevated blood calcium level infancy random genetic mutation deletion small piece chromosome rather inheritance often cause disorder however individual percent chance passing decide child characteristic facial feature include puffiness around eye short nose broad nasal tip wide mouth full cheek full lip small chin people also likely long neck sloping shoulder short stature limited mobility joint curvature spine individual star like pattern iris eye infant often irritable colicky feeding problem keep gaining weight chronic abdominal pain common adolescent adult age majority individual diabetes pre diabetes mild moderate sensorineural hearing loss form deafness due disturbed function auditory nerve people hearing loss may begin early late childhood also associated characteristic cognitive profile mental strength weakness composed strength verbal short term memory language combined severe weakness visuospatial construction skill used copy pattern draw write within language strongest skill typically concrete practical vocabulary many case low average average range general population abstract conceptual relational vocabulary much limited older child adult speak fluently use good grammar child attention deficit disorder add adhd specific phobia fear loud noise majority individual worry excessively
treatment,What are the treatments for Williams Syndrome ?,"There is no cure for Williams syndrome, nor is there a standard course of treatment. Because WS is an uncommon and complex disorder, multidisciplinary clinics have been established at several centers in the       United States   . Treatments are based on an individuals particular symptoms. People with WS require regular cardiovascular monitoring for potential medical problems, such as symptomatic narrowing of the blood vessels, high blood pressure, and heart failure",treatment williams syndrome,cure williams syndrome standard course treatment uncommon complex disorder multidisciplinary clinic established several center united state treatment based individual particular symptom people require regular cardiovascular monitoring potential medical problem symptomatic narrowing blood vessel high blood pressure heart failure
outlook,What is the outlook for Williams Syndrome ?,"The prognosis for individuals with WS varies. Some degree of impaired intellect is found in most people with the disorder. Some adults are able to function independently, complete academic or vocational school, and live in supervised homes or on their own; most live with a caregiver. Parents can increase the likelihood that their child will be able to live semi-independently by teaching self-help skills early. Early intervention and individualized educational programs designed with the distinct cognitive and personality profiles of WS in mind also help individuals maximize their potential. Medical complications associated with the disorder may shorten the lifespans of some individuals with WS.",outlook williams syndrome,prognosis individual varies degree impaired intellect found people disorder adult able function independently complete academic vocational school live supervised home live caregiver parent increase likelihood child able live semi independently teaching self help skill early early intervention individualized educational program designed distinct cognitive personality profile mind also help individual maximize potential medical complication associated disorder may shorten lifespan individual
research,what research (or clinical trials) is being done for Williams Syndrome ?,"The National Institutes of Health (NIH), and the National Institute of Neurological Disorders and Stroke (NINDS), have funded many of the research studies exploring the genetic and neurobiological origins of WS. In the early 1990s, researchers located and identified the genetic mutation responsible for the disorder: the deletion of a small section of chromosome 7 that contains approximately 25 genes. NINDS continues to support WS researchers including, for example, groups that are attempting to link specific genes with the corresponding facial, cognitive, personality, and neurological characteristics of WS.",research clinical trial done williams syndrome,national institute health nih national institute neurological disorder stroke ninds funded many research study exploring genetic neurobiological origin early researcher located identified genetic mutation responsible disorder deletion small section chromosome contains approximately gene ninds continues support researcher including example group attempting link specific gene corresponding facial cognitive personality neurological characteristic
information,What is (are) Hypotonia ?,"Hypotonia is a medical term used to describe decreased muscle tone. Normally, even when relaxed, muscles have a very small amount of contraction that gives them a springy feel and provides some resistance to passive movement. It is not the same as muscle weakness, although the two conditions can co-exist. Muscle tone is regulated by signals that travel from the brain to the nerves and tell the muscles to contract. Hypotonia can happen from damage to the brain, spinal cord, nerves, or muscles. The damage can be the result of trauma, environmental factors, or genetic, muscle, or central nervous system disorders. For example, it can be seen in Down syndrome, muscular dystrophy, cerebral palsy, Prader-Willi syndrome, myotonic dystrophy, and Tay-Sachs disease. Sometimes it may not be possible to find what causes the hypotonia. Infants with hypotonia have a floppy quality or rag doll appearance because their arms and legs hang by their sides and they have little or no head control. Other symptoms of hypotonia include problems with mobility and posture, breathing and speech difficulties, ligament and joint laxity, and poor reflexes. Hypotonia does not affect intellect. The opposite of hypotonia is hypertonia.",hypotonia,hypotonia medical term used describe decreased muscle tone normally even relaxed muscle small amount contraction give springy feel provides resistance passive movement muscle weakness although two condition exist muscle tone regulated signal travel brain nerve tell muscle contract hypotonia happen damage brain spinal cord nerve muscle damage result trauma environmental factor genetic muscle central nervous system disorder example seen syndrome muscular dystrophy cerebral palsy prader willi syndrome myotonic dystrophy tay sachs disease sometimes may possible find cause hypotonia infant hypotonia floppy quality rag doll appearance arm leg hang side little head control symptom hypotonia include problem mobility posture breathing speech difficulty ligament joint laxity poor reflex hypotonia affect intellect opposite hypotonia hypertonia
treatment,What are the treatments for Hypotonia ?,"Treatment begins with a thorough diagnostic evaluation, usually performed by a neurologist, including an assessment of motor and sensory skills, balance and coordination, mental status, reflexes, and functioning of the nerves. Diagnostic tests that may be helpful include a CT or MRI scan of the brain, an EMG to evaluate nerve and muscle function, or an EEG to measure electrical activity in the brain. Once a diagnosis has been made, the underlying condition is treated first, followed by symptomatic and supportive therapy for the hypotonia. Physical therapy can improve motor control and overall body strength. Occupational therapy can help relearn ways to address activities of daily living. Speech-language therapy can help breathing, speech, and swallowing difficulties. Therapy for infants and young children may also include sensory stimulation programs.",treatment hypotonia,treatment begin thorough diagnostic evaluation usually performed neurologist including assessment motor sensory skill balance coordination mental status reflex functioning nerve diagnostic test may helpful include mri scan brain emg evaluate nerve muscle function eeg measure electrical activity brain diagnosis made underlying condition treated first followed symptomatic supportive therapy hypotonia physical therapy improve motor control overall body strength occupational therapy help relearn way address activity daily living speech language therapy help breathing speech swallowing difficulty therapy infant young child may also include sensory stimulation program
outlook,What is the outlook for Hypotonia ?,"Hypotonia can be a life-long condition. In some cases, however, muscle tone improves over time.",outlook hypotonia,hypotonia life long condition case however muscle tone improves time
research,what research (or clinical trials) is being done for Hypotonia ?,"The NINDS supports research on conditions that can result from neurological disorders, such as hypotonia. Much of this research is aimed at learning more about these conditions and finding ways to prevent and treat them.",research clinical trial done hypotonia,ninds support research condition result neurological disorder hypotonia much research aimed learning condition finding way prevent treat
information,What is (are) Cushing's Syndrome ?,"Cushing's syndrome, also called hypercortisolism, is a rare endocrine disorder caused by chronic exposure of the body's tissues to excess levels of cortisol - a hormone naturally produced by the adrenal gland. Exposure to too much cortisol can occur from long-term use of synthetic glucocorticoid hormones to treat inflammatory illnesses. Pituitary adenomas (benign tumors of the pituitary gland) that secrete increased amounts of ACTH (adrenocorticotropic hormone, a substance that controls the release of cortisol) can also spur overproduction of cortisol. Tumors of the adrenal gland and ectopic ACTH syndrome (a condition in which ACTH is produced by various types of potentially malignant tumors that occur in different parts of the body) can cause similar problems with cortisol balance. Common symptoms of Cushing's syndrome include upper body obesity, severe fatigue and muscle weakness, high blood pressure, backache, elevated blood sugar, easy bruising, and bluish-red stretch marks on the skin. In women, there may be increased growth of facial and body hair, and menstrual periods may become irregular or stop completely. Neurological symptoms include difficulties with memory and neuromuscular disorders.",cushing syndrome,cushing syndrome also called hypercortisolism rare endocrine disorder caused chronic exposure body tissue excess level cortisol hormone naturally produced adrenal gland exposure much cortisol occur long term use synthetic glucocorticoid hormone treat inflammatory illness pituitary adenoma benign tumor pituitary gland secrete increased amount acth adrenocorticotropic hormone substance control release cortisol also spur overproduction cortisol tumor adrenal gland ectopic acth syndrome condition acth produced various type potentially malignant tumor occur different part body cause similar problem cortisol balance common symptom cushing syndrome include upper body obesity severe fatigue muscle weakness high blood pressure backache elevated blood sugar easy bruising bluish red stretch mark skin woman may increased growth facial body hair menstrual period may become irregular stop completely neurological symptom include difficulty memory neuromuscular disorder
treatment,What are the treatments for Cushing's Syndrome ?,"Treatment of Cushing's syndrome depends on the cause of excess cortisol. If the cause is long-term use of a medication being used to treat another disorder, the physician may reduce the dosage until symptoms are under control. Surgery or radiotherapy may be used to treat pituitary adenomas. Surgery, radiotherapy, chemotherapy, immunotherapy, or a combination of these may be used to treat ectopic ACTH syndrome. The aim of surgical treatment is to cure hypercortisolism by removing the tumor while minimizing the chance of endocrine deficiency or long-term dependence on medications. The U.S. Food and Drug Administration has approved pasireotide diasparate, taken by injection, for individuals who cannot be helped through surgery.",treatment cushing syndrome,treatment cushing syndrome depends cause excess cortisol cause long term use medication used treat another disorder physician may reduce dosage symptom control surgery radiotherapy may used treat pituitary adenoma surgery radiotherapy chemotherapy immunotherapy combination may used treat ectopic acth syndrome aim surgical treatment cure hypercortisolism removing tumor minimizing chance endocrine deficiency long term dependence medication food drug administration approved pasireotide diasparate taken injection individual helped surgery
outlook,What is the outlook for Cushing's Syndrome ?,"The prognosis for those with Cushing's syndrome varies depending on the cause of the disease. Most cases of Cushing's syndrome can be cured. Many individuals with Cushing's syndrome show significant improvement with treatment, although some may find recovery complicated by various aspects of the causative illness. Some kinds of tumors may recur.",outlook cushing syndrome,prognosis cushing syndrome varies depending cause disease case cushing syndrome cured many individual cushing syndrome show significant improvement treatment although may find recovery complicated various aspect causative illness kind tumor may recur
research,what research (or clinical trials) is being done for Cushing's Syndrome ?,"NINDS supports research on Cushing's syndrome aimed at finding new ways to diagnose, treat, and cure the disorder.",research clinical trial done cushing syndrome,ninds support research cushing syndrome aimed finding new way diagnose treat cure disorder
information,What is (are) Moyamoya Disease ?,"Moyamoya disease is a rare, progressive cerebrovascular disorder caused by blocked arteries at the base of the brain in an area called the basal ganglia. The name moyamoya means puff of smoke in Japanese and describes the look of the tangle of tiny vessels formed to compensate for the blockage. Moyamoya disease was first described in Japan in the 1960s and it has since been found in individuals in the other countries around the world; its incidence is higher in Asian countries than in Europe or North America. The disease primarily affects children, but it can also occur in adults. In children, the first symptom of Moyamoya disease is often stroke, or recurrent transient ischemic attacks (TIA, commonly referred to as mini-strokes), frequently accompanied by muscular weakness or paralysis affecting one side of the body, or seizures. Adults may also experience these symptoms that arise from blocked arteries, but more often experience a hemorrhagic stroke due to bleeding into the brain from the abnormal brain vessels. Individuals with this disorder may have disturbed consciousness, problems with speaking and understanding speech, sensory and cognitive impairments, involuntary movements, and vision problems.About one in 10 individuals with Moyamoya disease has a close relative who is also affected; in these cases researchers think that Moyamoya disease is the result of inherited genetic abnormalities.Studies that look for the abnormal gene(s) may help reveal the biomechanisms that cause the disorder.",moyamoya disease,moyamoya disease rare progressive cerebrovascular disorder caused blocked artery base brain area called basal ganglion name moyamoya mean puff smoke japanese describes look tangle tiny vessel formed compensate blockage moyamoya disease first described japan since found individual country around world incidence higher asian country europe north america disease primarily affect child also occur adult child first symptom moyamoya disease often stroke recurrent transient ischemic attack tia commonly referred mini stroke frequently accompanied muscular weakness paralysis affecting one side body seizure adult may also experience symptom arise blocked artery often experience hemorrhagic stroke due bleeding brain abnormal brain vessel individual disorder may disturbed consciousness problem speaking understanding speech sensory cognitive impairment involuntary movement vision problem one individual moyamoya disease close relative also affected case researcher think moyamoya disease result inherited genetic abnormality study look abnormal gene may help reveal biomechanisms cause disorder
treatment,What are the treatments for Moyamoya Disease ?,"There are several types of surgery that can restore blood flow (revascularization) to the brain by opening narrowed blood vessels or by bypassing blocked arteries. Children usually respond better to revascularization surgery than adults, but the majority of individuals have no further strokes or related problems after surgery.",treatment moyamoya disease,several type surgery restore blood flow revascularization brain opening narrowed blood vessel bypassing blocked artery child usually respond better revascularization surgery adult majority individual stroke related problem surgery
outlook,What is the outlook for Moyamoya Disease ?,"Without surgery, the majority of individuals with Moyamoya disease will experience mental decline and multiple strokes because of the progressive narrowing of arteries.Without treatment,Moyamoya diseasecan be fatal as the result ofintracerebral hemorrhage (bleeding within the brain).",outlook moyamoya disease,without surgery majority individual moyamoya disease experience mental decline multiple stroke progressive narrowing artery without treatment moyamoya diseasecan fatal result ofintracerebral hemorrhage bleeding within brain
